1721793517679: GET: /api/users
1721793598562: POST: /api/users/1001
1721793687439: ::1: POST: /api/users/1001
1721793690237: ::1: GET: /api/users
1721885288396: ::1: GET: /api/users
1721885497369: ::1: GET: /api/users
1721885814599: ::1: GET: /api/users
1721885878308: ::1: GET: /api/users
1721887259319: ::1: POST: /api/users/1001
1721887276529: ::1: POST: /api/users
1721887789548: ::1: POST: /api/users
1721887835841: ::1: POST: /api/users
1721887918954: ::1: POST: /api/users
1721888320210: ::1: POST: /api/users
1721888331454: ::1: POST: /api/users
1721888622145: ::1: GET: /api/users/67899
1721888647960: ::1: GET: /api/users/6
